restaurant_id,name,zone,pricing_tier,total_orders,conversion_pct,avg_delivery_min,avg_customer_rating,churn_risk
R032,Morrow Inc Bites,Rajagiriya,Budget,361,77.8,28.2,4.0,MEDIUM RISK
R038,Jackson Ltd House,Ratmalana,Budget,372,78.0,26.4,4.01,MEDIUM RISK
R192,Watkins Group Bites,Rajagiriya,Mid-range,372,79.8,33.4,4.04,MEDIUM RISK
R024,Scott Lynch and Mcdonald Eats,Colombo 2,Mid-range,375,79.2,32.2,3.98,MEDIUM RISK
R065,Johnston Garcia and Johnson Kitchen,Colombo 6,Mid-range,379,77.3,32.1,4.05,MEDIUM RISK
R135,Clarke-Ortiz Eats,Colombo 4,Premium,379,76.8,46.9,4.0,MEDIUM RISK
R075,Harris Williams and Cortez Eats,Colombo 3,Mid-range,380,78.2,32.7,3.92,MEDIUM RISK
R121,Green Group Cafe,Battaramulla,Budget,384,79.4,28.4,3.93,MEDIUM RISK
R199,Ward Inc Kitchen,Colombo 8,Budget,384,79.9,28.3,4.04,MEDIUM RISK
R010,Schmidt-Vasquez Bites,Colombo 2,Mid-range,387,78.8,30.6,4.04,MEDIUM RISK
R190,Parsons LLC House,Nugegoda,Budget,388,79.4,27.5,4.04,MEDIUM RISK
R168,Miller Dickerson and Brown House,Colombo 6,Premium,389,79.9,35.9,4.03,MEDIUM RISK
R035,Gibbs Gross and Thomas Kitchen,Colombo 4,Budget,390,79.7,28.0,4.02,MEDIUM RISK
R022,Woods Rivera and Fuller Kitchen,Colombo 2,Premium,399,77.7,48.0,4.12,MEDIUM RISK
R074,Ramirez and Sons Cafe,Colombo 1,Budget,402,78.6,29.1,3.99,MEDIUM RISK
R020,Adams Inc Cafe,Maharagama,Budget,404,78.7,26.1,4.0,MEDIUM RISK
R070,Wu and Sons Kitchen,Colombo 4,Mid-range,405,78.8,32.1,3.94,MEDIUM RISK
R039,Kelly Ltd Kitchen,Battaramulla,Budget,408,79.4,27.2,3.99,MEDIUM RISK
R093,Little Russell and Elliott Kitchen,Colombo 4,Mid-range,408,78.7,32.7,4.08,MEDIUM RISK
R191,Velazquez Atkinson and Williams House,Battaramulla,Budget,408,79.9,28.1,3.91,MEDIUM RISK
