restaurant_id,name,category,zone,pricing_tier,avg_item_price_lkr,commission_rate,rating,total_reviews,is_active,onboarded_date,has_promoted_listing
R001,Rodriguez-Holland Kitchen,Rice & Curry,Maharagama,Premium,1340.05,0.281,4.5,889,1,2024-05-16,0
R002,Anderson Garcia and Huff Cafe,Desserts,Colombo 1,Budget,157.45,0.189,3.8,4189,1,2024-09-22,0
R003,Palmer Ltd Cafe,Desserts,Colombo 4,Premium,1618.73,0.284,4.6,103,1,2025-06-05,1
R004,Sanders and Sons House,Kottu,Colombo 3,Mid-range,507.66,0.258,4.6,887,1,2025-09-11,1
R005,Gardner Harvey and King Cafe,Kottu,Kottawa,Mid-range,421.73,0.243,4.0,1072,0,2025-10-18,0
R006,Rogers Inc House,Indian,Rajagiriya,Premium,2278.73,0.299,4.3,619,1,2024-10-25,1
R007,Holland PLC Kitchen,Chinese,Battaramulla,Mid-range,450.5,0.234,4.6,3038,1,2025-06-03,0
R008,Arnold PLC House,Burgers,Dehiwala,Premium,1915.97,0.297,4.6,2055,1,2023-10-20,0
R009,Scott Graham and Nelson Cafe,Chinese,Ratmalana,Premium,1418.85,0.308,4.3,508,1,2026-01-01,1
R010,Schmidt-Vasquez Bites,Kottu,Colombo 2,Mid-range,505.49,0.267,4.3,2627,1,2025-08-31,0
R011,Montgomery LLC Bites,Pizza,Colombo 5,Premium,1123.41,0.307,4.3,4465,1,2023-10-17,0
R012,Rivera Lopez and Davis Bites,Seafood,Colombo 4,Premium,2495.72,0.277,4.3,4092,1,2024-06-19,1
R013,Vaughn-Hall Eats,Pizza,Kottawa,Budget,320.12,0.204,3.9,3202,1,2024-05-04,0
R014,Rodriguez-Ali House,Sandwiches,Battaramulla,Premium,2407.89,0.304,3.8,988,1,2024-04-14,0
R015,Malone Inc House,Burgers,Colombo 5,Mid-range,617.38,0.243,3.6,2207,0,2024-11-12,0
R016,Young-Lara Kitchen,Kottu,Battaramulla,Premium,1922.32,0.3,4.2,1302,1,2026-03-14,1
R017,Knight Group Kitchen,Indian,Colombo 6,Premium,1681.77,0.276,4.1,3023,1,2024-04-23,0
R018,Williams-Duncan Eats,Rice & Curry,Colombo 4,Mid-range,839.0,0.267,4.2,751,1,2025-04-30,0
R019,Bennett LLC Eats,Pizza,Ratmalana,Premium,1660.45,0.297,4.1,2221,1,2026-01-23,0
R020,Adams Inc Cafe,Chinese,Maharagama,Budget,227.93,0.22,3.4,3109,1,2023-10-16,0
R021,Kent LLC Eats,Chinese,Colombo 2,Budget,234.52,0.204,4.2,1935,1,2025-12-07,1
R022,Woods Rivera and Fuller Kitchen,Chinese,Colombo 2,Premium,2348.67,0.313,4.3,630,1,2023-12-15,1
R023,Rich PLC Eats,Sandwiches,Colombo 3,Mid-range,761.68,0.264,4.1,4770,1,2023-07-15,0
R024,Scott Lynch and Mcdonald Eats,Burgers,Colombo 2,Mid-range,729.49,0.238,3.7,3417,1,2025-06-04,0
R025,Robinson-Patterson Kitchen,Rice & Curry,Colombo 7,Premium,2065.14,0.31,4.2,945,1,2026-02-15,1
R026,Davis LLC Eats,Desserts,Colombo 3,Mid-range,539.27,0.232,4.1,667,1,2023-12-13,0
R027,Butler LLC Kitchen,Rice & Curry,Ratmalana,Premium,2498.85,0.312,4.1,814,0,2024-04-10,0
R028,Owens-Thompson Bites,Beverages,Colombo 8,Budget,203.44,0.196,3.9,530,1,2025-03-29,1
R029,Carrillo Garcia and Francis House,Beverages,Colombo 5,Mid-range,611.5,0.268,3.9,4602,1,2025-04-15,0
R030,Arnold-Sanchez House,Chinese,Colombo 1,Budget,294.8,0.202,3.7,2619,1,2023-07-30,0
R031,Hardy-Howard Cafe,Pizza,Colombo 1,Premium,2437.25,0.274,4.2,1572,1,2024-11-15,1
R032,Morrow Inc Bites,Burgers,Rajagiriya,Budget,292.42,0.203,4.4,375,1,2024-01-28,0
R033,Hall-Snyder Cafe,Sandwiches,Colombo 6,Premium,2395.53,0.28,4.4,2623,1,2025-10-15,0
R034,Bradshaw Williamson and Shepherd House,Beverages,Colombo 6,Premium,2386.43,0.317,4.1,126,1,2023-07-21,0
R035,Gibbs Gross and Thomas Kitchen,Sandwiches,Colombo 4,Budget,276.47,0.185,4.0,2909,1,2024-04-06,0
R036,Wong-Terry House,Pizza,Colombo 8,Mid-range,816.87,0.255,3.7,4383,1,2024-05-05,0
R037,Day and Sons Kitchen,Pizza,Colombo 5,Mid-range,457.71,0.225,4.2,4582,1,2024-02-21,1
R038,Jackson Ltd House,Chinese,Ratmalana,Budget,308.56,0.191,3.2,4052,1,2025-08-28,0
R039,Kelly Ltd Kitchen,Desserts,Battaramulla,Budget,219.17,0.18,3.4,1121,1,2025-09-16,1
R040,Powers Wade and Hernandez Bites,Sandwiches,Maharagama,Premium,1584.3,0.27,4.5,666,0,2023-07-17,0
R041,Robertson Davidson and Adams Cafe,Rice & Curry,Battaramulla,Budget,242.3,0.202,4.0,3570,1,2023-11-25,1
R042,Obrien-David House,Chinese,Ratmalana,Budget,212.38,0.184,3.9,4636,1,2025-12-23,0
R043,Whitney Curtis and Jackson Eats,Chinese,Battaramulla,Premium,1160.0,0.31,4.4,1500,1,2024-05-01,1
R044,Burns-Barrett House,Desserts,Kottawa,Premium,1971.85,0.307,4.3,2082,1,2024-12-18,0
R045,Brown Inc Bites,Rice & Curry,Battaramulla,Budget,267.67,0.188,3.4,3820,1,2024-10-11,0
R046,Olson Phillips and Thompson Eats,Rice & Curry,Ratmalana,Budget,198.28,0.193,3.6,618,0,2023-12-14,1
R047,Porter-Luna Cafe,Desserts,Ratmalana,Premium,2469.84,0.297,4.3,276,1,2025-05-02,0
R048,Atkinson Mccormick and Ellis Cafe,Kottu,Colombo 1,Budget,177.1,0.197,4.1,2619,1,2025-05-19,0
R049,Thomas-Smith Bites,Indian,Colombo 4,Budget,213.68,0.208,3.9,63,1,2024-11-20,0
R050,Garcia Rhodes and Armstrong Eats,Seafood,Colombo 7,Premium,1011.96,0.303,3.9,2754,1,2023-07-08,0
R051,Vasquez-Sullivan House,Sandwiches,Colombo 5,Budget,316.72,0.193,3.9,2472,1,2026-04-06,1
R052,Scott PLC Bites,Pizza,Dehiwala,Premium,1810.57,0.29,4.3,53,1,2023-11-14,1
R053,Whitehead-Barton Cafe,Seafood,Colombo 8,Premium,1606.86,0.304,4.2,4237,1,2026-02-01,0
R054,Oneal-Graham Eats,Burgers,Colombo 5,Premium,1724.72,0.302,4.6,2795,1,2024-08-18,0
R055,Bates LLC House,Chinese,Kottawa,Budget,199.78,0.181,4.1,2055,0,2025-03-27,0
R056,Lynch Tran and Calderon Bites,Desserts,Rajagiriya,Budget,307.44,0.188,4.1,3195,1,2023-09-24,1
R057,Welch James and Soto Kitchen,Burgers,Kottawa,Premium,1580.23,0.279,4.1,4293,1,2024-10-17,0
R058,Davies Miller and Jimenez Bites,Pizza,Kottawa,Budget,266.16,0.201,3.7,4628,1,2024-01-17,0
R059,Hayes-Adams Cafe,Sandwiches,Colombo 7,Mid-range,815.28,0.247,4.2,1353,1,2025-03-12,0
R060,Jackson-Torres Eats,Kottu,Kottawa,Mid-range,788.84,0.244,4.4,2009,1,2023-10-10,1
R061,Johnson-Guerrero Eats,Kottu,Colombo 6,Mid-range,559.85,0.247,4.0,1183,1,2026-04-16,0
R062,Massey Ltd Eats,Burgers,Colombo 7,Budget,251.9,0.202,3.7,3456,1,2023-12-07,0
R063,French-Shields Cafe,Rice & Curry,Battaramulla,Mid-range,840.33,0.249,3.8,3957,1,2024-11-15,0
R064,Chang Jones and Jacobson Bites,Sandwiches,Maharagama,Mid-range,767.32,0.26,3.7,1856,1,2023-07-25,1
R065,Johnston Garcia and Johnson Kitchen,Desserts,Colombo 6,Mid-range,734.44,0.26,4.3,1402,1,2025-10-17,0
R066,Snyder Ltd Cafe,Rice & Curry,Rajagiriya,Premium,1530.43,0.298,4.8,272,1,2024-02-23,0
R067,Dean-Pierce Eats,Rice & Curry,Colombo 5,Mid-range,589.55,0.231,4.1,2727,1,2024-12-03,0
R068,Sanchez Simmons and Weaver Bites,Kottu,Battaramulla,Mid-range,440.95,0.221,4.4,4468,1,2025-11-07,0
R069,Evans-Davis Kitchen,Rice & Curry,Kottawa,Budget,157.76,0.19,3.9,216,1,2023-11-02,1
R070,Wu and Sons Kitchen,Indian,Colombo 4,Mid-range,632.52,0.233,3.9,3071,1,2024-04-29,0
R071,Burns Freeman and Chen Kitchen,Pizza,Colombo 5,Premium,1072.96,0.271,4.5,2605,1,2025-07-13,0
R072,Johnson-Sullivan Bites,Chinese,Colombo 2,Mid-range,696.05,0.262,4.6,2039,1,2025-10-29,0
R073,Keller Ltd Cafe,Burgers,Kottawa,Premium,2474.15,0.309,4.4,2894,1,2024-09-23,0
R074,Ramirez and Sons Cafe,Seafood,Colombo 1,Budget,362.39,0.213,4.3,914,1,2025-11-09,0
R075,Harris Williams and Cortez Eats,Desserts,Colombo 3,Mid-range,766.9,0.268,3.3,2262,1,2024-02-16,0
R076,Lewis-Lopez Bites,Desserts,Battaramulla,Mid-range,765.51,0.233,4.3,2061,1,2024-05-20,1
R077,Orozco-Snyder Eats,Beverages,Dehiwala,Mid-range,705.17,0.239,4.1,285,1,2024-04-07,1
R078,Sanders-Young Eats,Seafood,Kottawa,Mid-range,529.18,0.234,4.0,4933,1,2023-09-14,1
R079,Monroe LLC Cafe,Chinese,Colombo 2,Budget,210.34,0.196,3.8,4598,1,2025-04-28,0
R080,Robinson-West Bites,Beverages,Kottawa,Premium,927.59,0.285,3.8,3362,1,2024-07-27,1
R081,Aguilar LLC House,Beverages,Nugegoda,Premium,1749.48,0.291,4.3,4558,1,2024-09-21,0
R082,Smith-Jones House,Kottu,Colombo 4,Mid-range,460.33,0.23,4.2,1029,1,2024-03-21,0
R083,Richards-Wilkerson Eats,Chinese,Colombo 4,Premium,2081.77,0.284,4.8,4879,0,2025-12-16,0
R084,Randolph Hardy and Mendoza Kitchen,Chinese,Colombo 5,Mid-range,513.74,0.229,3.9,165,1,2026-02-24,1
R085,Marshall Group Kitchen,Sandwiches,Colombo 5,Budget,324.35,0.185,3.6,4071,1,2023-06-26,1
R086,Gaines-West Bites,Beverages,Colombo 8,Mid-range,570.35,0.268,3.9,2118,0,2023-08-20,0
R087,Fernandez Travis and Fitzpatrick Bites,Beverages,Colombo 2,Budget,294.26,0.207,4.1,1292,1,2023-07-22,0
R088,Small-Wade Kitchen,Chinese,Colombo 2,Mid-range,679.04,0.241,4.2,4933,1,2023-06-03,1
R089,Cunningham-Nixon Bites,Beverages,Rajagiriya,Premium,1608.35,0.313,4.2,3562,1,2024-10-11,0
R090,Weiss PLC Kitchen,Chinese,Ratmalana,Premium,1237.64,0.303,4.6,1336,1,2024-12-22,0
R091,Thompson Merritt and Decker Kitchen,Desserts,Colombo 8,Budget,322.34,0.199,3.8,317,1,2023-10-10,0
R092,Long Johnson and Hamilton Bites,Burgers,Ratmalana,Premium,1273.48,0.283,4.7,4881,1,2023-08-30,0
R093,Little Russell and Elliott Kitchen,Sandwiches,Colombo 4,Mid-range,723.82,0.265,3.9,1215,1,2026-05-20,1
R094,Ibarra-Fox Cafe,Indian,Rajagiriya,Mid-range,544.31,0.226,4.0,2541,1,2024-07-04,0
R095,Patrick LLC Cafe,Beverages,Colombo 8,Premium,1028.71,0.272,4.3,3589,1,2024-06-26,0
R096,Swanson Stark and Jacobs Kitchen,Chinese,Ratmalana,Budget,358.99,0.203,3.4,219,0,2023-10-10,0
R097,Ellis and Sons Cafe,Rice & Curry,Kottawa,Mid-range,778.13,0.244,4.2,3672,0,2023-08-18,1
R098,Weeks PLC Bites,Beverages,Colombo 2,Premium,1652.02,0.29,4.5,2680,1,2025-12-24,0
R099,Miller Garcia and Nichols Bites,Beverages,Colombo 5,Mid-range,731.29,0.24,4.1,4556,1,2023-07-31,1
R100,Morrison Group House,Burgers,Kottawa,Mid-range,602.09,0.246,4.0,59,1,2024-02-02,0
R101,Watkins Roberts and Rodriguez Kitchen,Chinese,Nugegoda,Mid-range,580.89,0.258,3.7,3671,1,2026-04-07,1
R102,Lewis-Lewis Eats,Kottu,Colombo 8,Premium,2309.35,0.294,4.3,286,0,2025-01-15,0
R103,Lester Group Eats,Kottu,Nugegoda,Budget,153.42,0.196,3.7,1890,0,2023-11-16,0
R104,Reese-Chen Kitchen,Pizza,Colombo 8,Mid-range,866.33,0.235,3.9,2289,1,2026-04-22,0
R105,Lynch Rios and Brooks Eats,Beverages,Nugegoda,Mid-range,472.32,0.23,4.1,4960,1,2025-06-15,0
R106,Stewart Clayton and Morris House,Desserts,Colombo 6,Budget,383.56,0.2,3.9,71,1,2025-09-11,1
R107,Collins-Willis Cafe,Beverages,Battaramulla,Premium,1137.75,0.297,5.0,2877,1,2024-01-10,0
R108,Lawrence Group Bites,Seafood,Battaramulla,Mid-range,494.33,0.255,4.2,4734,1,2026-05-14,0
R109,Patterson-Bruce Kitchen,Seafood,Maharagama,Mid-range,636.49,0.266,4.2,3173,1,2025-08-10,0
R110,Martin-Phillips Eats,Beverages,Colombo 1,Premium,1101.99,0.318,4.4,2769,1,2023-12-31,0
R111,Duncan-Campbell Kitchen,Sandwiches,Rajagiriya,Mid-range,628.46,0.256,3.5,3408,1,2024-06-20,0
R112,Zamora Bryant and Tucker Bites,Kottu,Colombo 6,Budget,305.81,0.196,3.8,707,1,2025-11-07,0
R113,Yates PLC Bites,Seafood,Ratmalana,Premium,2049.95,0.308,4.4,4482,1,2026-04-01,1
R114,Wang Floyd and Hahn House,Chinese,Maharagama,Premium,1044.61,0.319,5.0,873,1,2024-07-17,0
R115,Ruiz LLC Kitchen,Seafood,Kottawa,Budget,164.03,0.194,3.7,3578,1,2024-02-11,0
R116,Russell-Jackson Eats,Pizza,Colombo 3,Premium,1026.35,0.314,4.5,2022,1,2024-01-30,0
R117,Brown Willis and James Bites,Kottu,Colombo 8,Budget,213.83,0.18,3.8,3861,0,2024-05-14,0
R118,White Inc Kitchen,Beverages,Colombo 6,Budget,396.91,0.192,3.4,3525,1,2025-11-02,0
R119,Williams Mcclure and Baldwin Eats,Desserts,Battaramulla,Mid-range,641.6,0.232,4.4,4735,1,2024-06-17,1
R120,Hunt Nguyen and Gordon House,Rice & Curry,Battaramulla,Premium,1953.17,0.284,4.6,4686,1,2025-09-03,0
R121,Green Group Cafe,Beverages,Battaramulla,Budget,376.04,0.191,4.0,1935,1,2025-08-17,0
R122,Thomas LLC Eats,Indian,Colombo 5,Premium,1984.42,0.306,4.1,1170,1,2023-06-25,0
R123,Shaw Inc Kitchen,Kottu,Kottawa,Premium,1605.32,0.299,4.8,1126,1,2025-05-19,1
R124,Howe Group Bites,Pizza,Colombo 4,Premium,1111.46,0.297,4.0,3047,1,2025-12-19,0
R125,Walsh-Lee House,Beverages,Kottawa,Budget,223.79,0.215,4.0,993,1,2024-08-05,1
R126,Gallegos-Peters Bites,Sandwiches,Colombo 6,Budget,172.58,0.196,4.5,2216,1,2023-07-06,0
R127,Turner Williams and Johnson House,Indian,Colombo 7,Premium,2215.87,0.317,4.1,937,1,2025-07-29,0
R128,Bennett Group Cafe,Seafood,Rajagiriya,Premium,1876.13,0.302,4.2,3853,0,2023-12-26,1
R129,Perry-Warren Kitchen,Pizza,Colombo 1,Mid-range,873.13,0.235,4.1,4085,1,2024-01-31,1
R130,Zimmerman-Chavez Eats,Desserts,Colombo 8,Premium,1493.62,0.317,4.2,4475,1,2023-11-16,0
R131,Gallegos-Morgan Bites,Burgers,Battaramulla,Budget,272.34,0.196,3.3,2341,1,2025-07-23,0
R132,Rodriguez Russell and Chandler Bites,Chinese,Battaramulla,Mid-range,581.34,0.269,4.1,3059,1,2026-03-19,0
R133,Cole Reid and Wang Kitchen,Desserts,Colombo 5,Mid-range,494.9,0.226,3.8,3775,1,2026-03-08,1
R134,Gould Ltd Cafe,Rice & Curry,Colombo 1,Premium,2158.87,0.282,4.5,1081,1,2024-11-07,1
R135,Clarke-Ortiz Eats,Indian,Colombo 4,Premium,2200.88,0.282,4.1,1258,1,2025-10-07,0
R136,Turner Snyder and Scott Eats,Pizza,Nugegoda,Mid-range,525.33,0.229,4.6,261,1,2024-08-14,0
R137,Gonzalez Barry and Griffin Cafe,Seafood,Colombo 1,Budget,193.56,0.182,3.6,3498,1,2024-01-24,0
R138,Miller-Villarreal Bites,Seafood,Nugegoda,Mid-range,696.83,0.243,4.0,1864,0,2026-04-23,1
R139,Gonzalez-Kennedy Cafe,Kottu,Colombo 8,Premium,1929.35,0.272,4.6,3973,1,2026-02-14,0
R140,Lopez Ltd Bites,Beverages,Colombo 2,Budget,374.82,0.193,3.4,1265,1,2026-01-26,1
R141,Yoder Bullock and Spencer Cafe,Sandwiches,Maharagama,Premium,1420.3,0.32,4.5,4396,1,2025-11-08,0
R142,Cole-Morse Kitchen,Burgers,Battaramulla,Mid-range,727.36,0.264,4.5,4566,1,2025-06-01,1
R143,Gomez LLC Eats,Desserts,Colombo 6,Mid-range,813.71,0.24,3.6,828,1,2025-09-04,1
R144,Stout PLC House,Pizza,Ratmalana,Mid-range,861.49,0.223,4.2,749,1,2024-05-18,1
R145,Miller Stevens and Moody House,Pizza,Nugegoda,Premium,995.97,0.318,4.5,4651,1,2025-03-12,1
