restaurant_id,name,category,zone,pricing_tier,total_orders,revenue_lkr,conversion_pct,avg_delivery_min
R034,Bradshaw Williamson and Shepherd House,Beverages,Colombo 6,Premium,403,822811.0,82.9,49.3
R047,Porter-Luna Cafe,Desserts,Ratmalana,Premium,406,787143.0,81.8,49.6
R176,Adams-Ray Cafe,Beverages,Colombo 8,Premium,424,750050.0,81.4,46.8
R012,Rivera Lopez and Davis Bites,Seafood,Colombo 4,Premium,406,748981.0,82.3,49.4
R073,Keller Ltd Cafe,Burgers,Kottawa,Premium,397,748207.0,80.9,50.3
R127,Turner Williams and Johnson House,Indian,Colombo 7,Premium,396,742500.0,84.8,46.5
R162,Zimmerman-Lopez Cafe,Seafood,Battaramulla,Premium,401,740106.0,83.5,49.9
R022,Woods Rivera and Fuller Kitchen,Chinese,Colombo 2,Premium,399,740080.0,77.7,48.0
R014,Rodriguez-Ali House,Sandwiches,Battaramulla,Premium,382,718399.0,81.4,48.7
R033,Hall-Snyder Cafe,Sandwiches,Colombo 6,Premium,399,706805.0,82.7,48.4
